problem_size; average_cost; iterations; cadency; greedy; symetric
11; 202; 100; 11; 1;0
14; 202; 100; 14; 1;0
16; 160; 100; 16; 1;0
17; 2085; 100; 17; 1;0
18; 187; 100; 18; 1;0
34; 1507; 100; 34; 1;0
36; 1684; 100; 36; 1;0
39; 1679; 100; 39; 1;0
43; 5644; 100; 43; 1;0
45; 1799; 100; 45; 1;0
48; 15277; 100; 48; 1;0
53; 8727; 100; 53; 1;0
56; 2000; 100; 56; 1;0
65; 2365; 100; 65; 1;0
70; 41083; 100; 70; 1;0
71; 2306; 100; 71; 1;0
100; 41499; 100; 100; 1;0
171; 3574; 100; 171; 1;0
11; 220; 100; 11; 0;0
14; 174; 100; 14; 0;0
16; 219; 100; 16; 0;0
17; 2156; 100; 17; 0;0
18; 251; 100; 18; 0;0
34; 1781; 100; 34; 0;0
36; 2035; 100; 36; 0;0
39; 2014; 100; 39; 0;0
43; 5655; 100; 43; 0;0
45; 2246; 100; 45; 0;0
48; 19052; 100; 48; 0;0
53; 10162; 100; 53; 0;0
56; 2548; 100; 56; 0;0
65; 2935; 100; 65; 0;0
70; 44958; 100; 70; 0;0
71; 3128; 100; 71; 0;0
100; 59261; 100; 100; 0;0
171; 8226; 100; 171; 0;0
10; 212; 100; 10; 1;1
12; 264; 100; 12; 1;1
13; 301; 100; 13; 1;1
15; 291; 100; 15; 1;1
17; 2085; 100; 17; 1;1
21; 3223; 100; 21; 1;1
24; 1278; 100; 24; 1;1
26; 955; 100; 26; 1;1
29; 1793; 100; 29; 1;1
42; 793; 100; 42; 1;1
58; 27334; 100; 58; 1;1
120; 8013; 100; 120; 1;1
10; 212; 100; 10; 0;1
12; 264; 100; 12; 0;1
13; 269; 100; 13; 0;1
15; 291; 100; 15; 0;1
17; 2120; 100; 17; 0;1
21; 2707; 100; 21; 0;1
24; 1408; 100; 24; 0;1
26; 1005; 100; 26; 0;1
29; 1842; 100; 29; 0;1
42; 976; 100; 42; 0;1
58; 32511; 100; 58; 0;1
120; 13889; 100; 120; 0;1
